314.078 5.9168
315.078 5.9081
316.078 5.9001
317.078 5.8922
318.078 5.8842
319.079 5.8748
320.079 5.8675
321.079 5.8595
322.079 5.8516
323.078 5.8436
324.078 5.8362
325.078 5.8277
326.078 5.8196
327.078 5.8118
328.078 5.8029
329.078 5.7959
330.079 5.7872
331.079 5.7798
332.078 5.7713
333.079 5.7644
334.078 5.7566
335.078 5.7481
336.078 5.741
337.079 5.733
338.079 5.7253
339.078 5.7176
340.078 5.7097
341.079 5.7021
342.078 5.6937
343.078 5.6861
344.079 5.6792
345.078 5.6709
346.079 5.6634
347.078 5.6562
348.078 5.6487
349.078 5.6409
350.078 5.6337
351.078 5.6255
352.078 5.6179
353.079 5.6096
354.078 5.6028
355.078 5.5953
356.078 5.5881
357.078 5.5808
358.078 5.5732
359.078 5.567
360.078 5.5591
361.078 5.5518
362.078 5.5444
363.078 5.5369
364.079 5.5298
365.078 5.522
