0 11.2479
0.969 11.2258
1.901 11.2024
2.883 11.1793
3.883 11.1553
4.884 11.1317
5.884 11.1078
6.883 11.0823
7.883 11.0585
8.883 11.0357
9.884 11.0149
10.884 10.991
11.883 10.9672
12.884 10.9419
13.884 10.916
14.883 10.8899
15.884 10.8652
16.884 10.8412
17.883 10.8168
18.884 10.7933
19.884 10.7704
20.883 10.7468
21.883 10.7235
22.883 10.7002
23.884 10.6778
24.884 10.6546
25.883 10.6323
26.883 10.6086
27.882 10.586
28.882 10.5631
29.882 10.5403
30.883 10.518
31.882 10.496
32.882 10.474
33.882 10.4524
34.882 10.4294
35.882 10.4081
36.884 10.3855
37.882 10.3633
38.882 10.3411
39.882 10.3193
40.882 10.2978
41.882 10.2754
42.882 10.2534
43.882 10.2319
44.882 10.2106
45.882 10.1884
46.882 10.1658
47.882 10.1433
48.882 10.1222
49.882 10.1006
50.883 10.0783
51.882 10.0558
52.882 10.034
53.883 10.0126
54.884 9.9912
55.883 9.9687
56.884 9.9476
57.884 9.9273
58.883 9.9055
59.884 9.8843
60.883 9.8638
61.884 9.8429
62.883 9.8261
63.883 9.8064
64.884 9.7836
65.883 9.7607
66.883 9.7381
67.884 9.7163
68.883 9.694
69.883 9.6734
70.884 9.6526
71.884 9.6318
72.884 9.6114
73.884 9.5903
74.884 9.5699
75.883 9.5493
76.883 9.529
77.884 9.5083
78.883 9.4881
79.884 9.4678
80.884 9.4466
81.883 9.4272
82.883 9.4062
83.884 9.3858
84.883 9.3661
85.884 9.3457
86.884 9.3269
87.884 9.3068
88.884 9.2883
89.883 9.2676
90.883 9.2481
91.883 9.2288
92.883 9.209
93.883 9.1901
94.883 9.1709
95.884 9.1515
96.884 9.1318
97.883 9.1134
98.884 9.0939
99.884 9.0742
100.883 9.0557
101.884 9.0367
102.884 9.0187
103.883 8.9994
104.884 8.9794
105.884 8.9607
106.884 8.9418
107.883 8.9236
108.883 8.9044
109.884 8.8853
110.884 8.8665
111.883 8.8481
112.884 8.8288
113.883 8.8103
114.883 8.792
115.883 8.7733
116.884 8.7557
117.883 8.7371
118.883 8.7186
119.883 8.7001
120.884 8.6816
121.883 8.6636
122.883 8.6456
123.883 8.6266
124.884 8.609
125.883 8.5912
126.883 8.5726
127.883 8.5553
128.884 8.5367
129.883 8.5193
130.884 8.5008
131.884 8.4837
132.883 8.4656
133.883 8.4475
134.884 8.4297
135.883 8.4118
136.883 8.3943
137.883 8.3754
138.884 8.3588
139.884 8.3412
140.884 8.3241
141.883 8.3061
142.883 8.2886
143.883 8.2716
144.883 8.2539
145.883 8.2366
146.884 8.2187
147.884 8.2021
148.883 8.1837
149.883 8.1668
150.884 8.1493
151.883 8.132
152.884 8.1152
153.883 8.0975
154.883 8.0802
155.883 8.064
156.883 8.0469
157.884 8.0298
158.883 8.0122
159.884 7.997
160.883 7.979
161.884 7.9626
162.883 7.9456
163.884 7.9289
164.883 7.911
165.883 7.895
166.884 7.8782
167.883 7.8604
168.883 7.8451
169.884 7.8272
170.883 7.8107
171.883 7.7946
172.884 7.7772
173.883 7.7617
174.883 7.7454
175.884 7.7291
176.883 7.713
177.883 7.6968
178.883 7.681
179.883 7.6656
180.883 7.6489
181.884 7.6325
182.884 7.6154
183.883 7.5992
184.884 7.5839
185.884 7.5678
186.883 7.5521
187.884 7.5354
188.884 7.5195
